Phylum	Category	Percentage	Count	Timepoint	SampleType
Firmicutes	Replication, recombination and repair	0.025974026	2	TP8	Soil
Nitrospinae	Replication, recombination and repair	0.025974026	2	TP8	Soil
Bacteroidetes	Replication, recombination and repair	0.02173913	2	TP9	Rhizosphere
Bacteroidetes	Replication, recombination and repair	0.00913242	2	TP8	Rhizosphere
Tenericutes	Replication, recombination and repair	0.00913242	2	TP8	Rhizosphere
Nitrospirae	Replication, recombination and repair	0.041666667	3	TP9	Soil
Bacteroidetes	Replication, recombination and repair	0.069444444	5	TP9	Soil
Chloroflexi	Replication, recombination and repair	0.02283105	5	TP8	Rhizosphere
Acidobacteria	Replication, recombination and repair	0.083333333	6	TP9	Soil
Actinobacteria	Replication, recombination and repair	0.138888889	10	TP9	Soil
Firmicutes	Replication, recombination and repair	0.138888889	10	TP9	Soil
Firmicutes	Replication, recombination and repair	0.0456621	10	TP8	Rhizosphere
Chloroflexi	Replication, recombination and repair	0.152777778	11	TP9	Soil
Proteobacteria	Replication, recombination and repair	0.155844156	12	TP8	Soil
Proteobacteria	Replication, recombination and repair	0.163043478	15	TP9	Rhizosphere
Chloroflexi	Replication, recombination and repair	0.233766234	18	TP8	Soil
Proteobacteria	Replication, recombination and repair	0.263888889	19	TP9	Soil
Firmicutes	Replication, recombination and repair	0.380434783	35	TP9	Rhizosphere
Proteobacteria	Replication, recombination and repair	0.159817352	35	TP8	Rhizosphere
Actinobacteria	Replication, recombination and repair	0.402173913	37	TP9	Rhizosphere
Actinobacteria	Replication, recombination and repair	0.506493506	39	TP8	Soil
Actinobacteria	Replication, recombination and repair	0.753424658	165	TP8	Rhizosphere
Bacteroidetes	Cell wall/membrane/envelope biogenesis	0.008130081	1	TP8	Soil
Chlorobi	Cell wall/membrane/envelope biogenesis	0.008130081	1	TP8	Soil
Cyanobacteria	Cell wall/membrane/envelope biogenesis	0.008130081	1	TP8	Soil
Elusimicrobia	Cell wall/membrane/envelope biogenesis	0.008130081	1	TP8	Soil
Nitrospinae	Cell wall/membrane/envelope biogenesis	0.008130081	1	TP8	Soil
Verrucomicrobia	Cell wall/membrane/envelope biogenesis	0.008130081	1	TP8	Soil
Armatimonadetes	Cell wall/membrane/envelope biogenesis	0.006410256	1	TP9	Soil
Chlorobi	Cell wall/membrane/envelope biogenesis	0.006410256	1	TP9	Soil
Deinococcus-Thermus	Cell wall/membrane/envelope biogenesis	0.006410256	1	TP9	Soil
Elusimicrobia	Cell wall/membrane/envelope biogenesis	0.006410256	1	TP9	Soil
Ignavibacteriae	Cell wall/membrane/envelope biogenesis	0.006410256	1	TP9	Soil
Planctomycetes	Cell wall/membrane/envelope biogenesis	0.006410256	1	TP9	Soil
Cyanobacteria	Cell wall/membrane/envelope biogenesis	0.002666667	1	TP8	Rhizosphere
Deinococcus-Thermus	Cell wall/membrane/envelope biogenesis	0.002666667	1	TP8	Rhizosphere
Tenericutes	Cell wall/membrane/envelope biogenesis	0.002666667	1	TP8	Rhizosphere
Acidobacteria	Cell wall/membrane/envelope biogenesis	0.016260163	2	TP8	Soil
Gemmatimonadetes	Cell wall/membrane/envelope biogenesis	0.012820513	2	TP9	Soil
Nitrospinae	Cell wall/membrane/envelope biogenesis	0.012820513	2	TP9	Soil
Bacteroidetes	Cell wall/membrane/envelope biogenesis	0.005333333	2	TP8	Rhizosphere
Spirochaetes	Cell wall/membrane/envelope biogenesis	0.024390244	3	TP8	Soil
Verrucomicrobia	Cell wall/membrane/envelope biogenesis	0.019230769	3	TP9	Soil
Firmicutes	Cell wall/membrane/envelope biogenesis	0.040650407	5	TP8	Soil
Planctomycetes	Cell wall/membrane/envelope biogenesis	0.040650407	5	TP8	Soil
Chloroflexi	Cell wall/membrane/envelope biogenesis	0.032051282	5	TP9	Soil
Chloroflexi	Cell wall/membrane/envelope biogenesis	0.013333333	5	TP8	Rhizosphere
Chloroflexi	Cell wall/membrane/envelope biogenesis	0.048780488	6	TP8	Soil
Nitrospirae	Cell wall/membrane/envelope biogenesis	0.038461538	6	TP9	Soil
Cyanobacteria	Cell wall/membrane/envelope biogenesis	0.057692308	9	TP9	Soil
Bacteroidetes	Cell wall/membrane/envelope biogenesis	0.045454545	10	TP9	Rhizosphere
Firmicutes	Cell wall/membrane/envelope biogenesis	0.070512821	11	TP9	Soil
Acidobacteria	Cell wall/membrane/envelope biogenesis	0.102564103	16	TP9	Soil
Firmicutes	Cell wall/membrane/envelope biogenesis	0.042666667	16	TP8	Rhizosphere
Actinobacteria	Cell wall/membrane/envelope biogenesis	0.153846154	24	TP9	Soil
Bacteroidetes	Cell wall/membrane/envelope biogenesis	0.179487179	28	TP9	Soil
Proteobacteria	Cell wall/membrane/envelope biogenesis	0.074666667	28	TP8	Rhizosphere
Proteobacteria	Cell wall/membrane/envelope biogenesis	0.243902439	30	TP8	Soil
Proteobacteria	Cell wall/membrane/envelope biogenesis	0.282051282	44	TP9	Soil
Firmicutes	Cell wall/membrane/envelope biogenesis	0.2	44	TP9	Rhizosphere
Actinobacteria	Cell wall/membrane/envelope biogenesis	0.536585366	66	TP8	Soil
Proteobacteria	Cell wall/membrane/envelope biogenesis	0.340909091	75	TP9	Rhizosphere
Actinobacteria	Cell wall/membrane/envelope biogenesis	0.413636364	91	TP9	Rhizosphere
Actinobacteria	Cell wall/membrane/envelope biogenesis	0.856	321	TP8	Rhizosphere
Firmicutes	Cell motility	0.125	1	TP8	Soil
Verrucomicrobia	Cell motility	0.125	1	TP8	Soil
Firmicutes	Cell motility	0.04	1	TP9	Rhizosphere
Bacteroidetes	Cell motility	0.181818182	2	TP9	Soil
Nitrospirae	Cell motility	0.181818182	2	TP9	Soil
Actinobacteria	Cell motility	0.272727273	3	TP9	Soil
Proteobacteria	Cell motility	0.363636364	4	TP9	Soil
Actinobacteria	Cell motility	0.75	6	TP8	Soil
Actinobacteria	Cell motility	0.32	8	TP9	Rhizosphere
Proteobacteria	Cell motility	0.314285714	11	TP8	Rhizosphere
Proteobacteria	Cell motility	0.64	16	TP9	Rhizosphere
Actinobacteria	Cell motility	0.685714286	24	TP8	Rhizosphere
Nitrospirae	Posttranslational modification, protein turnover, chaperones	0.003472222	1	TP9	Rhizosphere
Verrucomicrobia	Posttranslational modification, protein turnover, chaperones	0.003472222	1	TP9	Rhizosphere
Aerophobetes	Posttranslational modification, protein turnover, chaperones	0.003401361	1	TP9	Soil
Armatimonadetes	Posttranslational modification, protein turnover, chaperones	0.003401361	1	TP9	Soil
Deinococcus-Thermus	Posttranslational modification, protein turnover, chaperones	0.003401361	1	TP9	Soil
Hydrogenedentes	Posttranslational modification, protein turnover, chaperones	0.003401361	1	TP9	Soil
Aquificae	Posttranslational modification, protein turnover, chaperones	0.001644737	1	TP8	Soil
Bacteroidetes	Posttranslational modification, protein turnover, chaperones	0.001644737	1	TP8	Soil
Cloacimonetes	Posttranslational modification, protein turnover, chaperones	0.001644737	1	TP8	Soil
Fervidibacteria	Posttranslational modification, protein turnover, chaperones	0.001644737	1	TP8	Soil
Ignavibacteriae	Posttranslational modification, protein turnover, chaperones	0.001644737	1	TP8	Soil
Synergistetes	Posttranslational modification, protein turnover, chaperones	0.001644737	1	TP8	Soil
Thermodesulfobacteria	Posttranslational modification, protein turnover, chaperones	0.001644737	1	TP8	Soil
Thermotogae	Posttranslational modification, protein turnover, chaperones	0.001644737	1	TP8	Soil
Acidobacteria	Posttranslational modification, protein turnover, chaperones	0.0013947	1	TP8	Rhizosphere
Chlorobi	Posttranslational modification, protein turnover, chaperones	0.0013947	1	TP8	Rhizosphere
Gemmatimonadetes	Posttranslational modification, protein turnover, chaperones	0.0013947	1	TP8	Rhizosphere
Hydrogenedentes	Posttranslational modification, protein turnover, chaperones	0.0013947	1	TP8	Rhizosphere
Nitrospinae	Posttranslational modification, protein turnover, chaperones	0.0013947	1	TP8	Rhizosphere
Synergistetes	Posttranslational modification, protein turnover, chaperones	0.0013947	1	TP8	Rhizosphere
Verrucomicrobia	Posttranslational modification, protein turnover, chaperones	0.0013947	1	TP8	Rhizosphere
Planctomycetes	Posttranslational modification, protein turnover, chaperones	0.006944444	2	TP9	Rhizosphere
Deferribacteres	Posttranslational modification, protein turnover, chaperones	0.006802721	2	TP9	Soil
Gemmatimonadetes	Posttranslational modification, protein turnover, chaperones	0.006802721	2	TP9	Soil
Nitrospinae	Posttranslational modification, protein turnover, chaperones	0.006802721	2	TP9	Soil
Spirochaetes	Posttranslational modification, protein turnover, chaperones	0.006802721	2	TP9	Soil
Thermodesulfobacteria	Posttranslational modification, protein turnover, chaperones	0.006802721	2	TP9	Soil
Armatimonadetes	Posttranslational modification, protein turnover, chaperones	0.003289474	2	TP8	Soil
Caldithrixae	Posttranslational modification, protein turnover, chaperones	0.003289474	2	TP8	Soil
Gemmatimonadetes	Posttranslational modification, protein turnover, chaperones	0.003289474	2	TP8	Soil
Nitrospinae	Posttranslational modification, protein turnover, chaperones	0.003289474	2	TP8	Soil
Bacteroidetes	Posttranslational modification, protein turnover, chaperones	0.0027894	2	TP8	Rhizosphere
candidate	Posttranslational modification, protein turnover, chaperones	0.0027894	2	TP8	Rhizosphere
Cyanobacteria	Posttranslational modification, protein turnover, chaperones	0.0027894	2	TP8	Rhizosphere
Cyanobacteria	Posttranslational modification, protein turnover, chaperones	0.010416667	3	TP9	Rhizosphere
Deinococcus-Thermus	Posttranslational modification, protein turnover, chaperones	0.004934211	3	TP8	Soil
Verrucomicrobia	Posttranslational modification, protein turnover, chaperones	0.004934211	3	TP8	Soil
Firmicutes	Posttranslational modification, protein turnover, chaperones	0.013605442	4	TP9	Soil
Cyanobacteria	Posttranslational modification, protein turnover, chaperones	0.008223684	5	TP8	Soil
Tenericutes	Posttranslational modification, protein turnover, chaperones	0.006973501	5	TP8	Rhizosphere
candidate division NC10	Posttranslational modification, protein turnover, chaperones	0.023809524	7	TP9	Soil
Verrucomicrobia	Posttranslational modification, protein turnover, chaperones	0.023809524	7	TP9	Soil
Nitrospirae	Posttranslational modification, protein turnover, chaperones	0.011513158	7	TP8	Soil
Planctomycetes	Posttranslational modification, protein turnover, chaperones	0.027210884	8	TP9	Soil
candidate division NC10	Posttranslational modification, protein turnover, chaperones	0.013157895	8	TP8	Soil
Chloroflexi	Posttranslational modification, protein turnover, chaperones	0.038194444	11	TP9	Rhizosphere
Acidobacteria	Posttranslational modification, protein turnover, chaperones	0.054421769	16	TP9	Soil
Nitrospirae	Posttranslational modification, protein turnover, chaperones	0.054421769	16	TP9	Soil
Hydrogenedentes	Posttranslational modification, protein turnover, chaperones	0.026315789	16	TP8	Soil
Planctomycetes	Posttranslational modification, protein turnover, chaperones	0.026315789	16	TP8	Soil
Bacteroidetes	Posttranslational modification, protein turnover, chaperones	0.059027778	17	TP9	Rhizosphere
Bacteroidetes	Posttranslational modification, protein turnover, chaperones	0.06122449	18	TP9	Soil
Acidobacteria	Posttranslational modification, protein turnover, chaperones	0.03125	19	TP8	Soil
Chloroflexi	Posttranslational modification, protein turnover, chaperones	0.068027211	20	TP9	Soil
Firmicutes	Posttranslational modification, protein turnover, chaperones	0.034539474	21	TP8	Soil
Cyanobacteria	Posttranslational modification, protein turnover, chaperones	0.074829932	22	TP9	Soil
Firmicutes	Posttranslational modification, protein turnover, chaperones	0.033472803	24	TP8	Rhizosphere
Proteobacteria	Posttranslational modification, protein turnover, chaperones	0.057182706	41	TP8	Rhizosphere
Firmicutes	Posttranslational modification, protein turnover, chaperones	0.177083333	51	TP9	Rhizosphere
Chloroflexi	Posttranslational modification, protein turnover, chaperones	0.078103208	56	TP8	Rhizosphere
Proteobacteria	Posttranslational modification, protein turnover, chaperones	0.201388889	58	TP9	Rhizosphere
Actinobacteria	Posttranslational modification, protein turnover, chaperones	0.200680272	59	TP9	Soil
Proteobacteria	Posttranslational modification, protein turnover, chaperones	0.167763158	102	TP8	Soil
Proteobacteria	Posttranslational modification, protein turnover, chaperones	0.350340136	103	TP9	Soil
Actinobacteria	Posttranslational modification, protein turnover, chaperones	0.5	144	TP9	Rhizosphere
Chloroflexi	Posttranslational modification, protein turnover, chaperones	0.310855263	189	TP8	Soil
Actinobacteria	Posttranslational modification, protein turnover, chaperones	0.333881579	203	TP8	Soil
Actinobacteria	Posttranslational modification, protein turnover, chaperones	0.806136681	578	TP8	Rhizosphere
candidate division NC10	Inorganic ion transport and metabolism	0.006896552	1	TP8	Soil
Chlamydiae	Inorganic ion transport and metabolism	0.006896552	1	TP8	Soil
Chlorobi	Inorganic ion transport and metabolism	0.006896552	1	TP8	Soil
Cyanobacteria	Inorganic ion transport and metabolism	0.006896552	1	TP8	Soil
Marinimicrobia	Inorganic ion transport and metabolism	0.006896552	1	TP8	Soil
Thermodesulfobacteria	Inorganic ion transport and metabolism	0.006896552	1	TP8	Soil
BRC1	Inorganic ion transport and metabolism	0.006289308	1	TP9	Soil
Deinococcus-Thermus	Inorganic ion transport and metabolism	0.006289308	1	TP9	Soil
Dictyoglomi	Inorganic ion transport and metabolism	0.006289308	1	TP9	Soil
Omnitrophica	Inorganic ion transport and metabolism	0.006289308	1	TP9	Soil
Synergistetes	Inorganic ion transport and metabolism	0.006289308	1	TP9	Soil
Tenericutes	Inorganic ion transport and metabolism	0.006289308	1	TP9	Soil
Gemmatimonadetes	Inorganic ion transport and metabolism	0.005154639	1	TP9	Rhizosphere
Acidobacteria	Inorganic ion transport and metabolism	0.002444988	1	TP8	Rhizosphere
Planctomycetes	Inorganic ion transport and metabolism	0.002444988	1	TP8	Rhizosphere
Deinococcus-Thermus	Inorganic ion transport and metabolism	0.013793103	2	TP8	Soil
Nitrospirae	Inorganic ion transport and metabolism	0.013793103	2	TP8	Soil
Verrucomicrobia	Inorganic ion transport and metabolism	0.013793103	2	TP8	Soil
Acidobacteria	Inorganic ion transport and metabolism	0.020689655	3	TP8	Soil
Bacteroidetes	Inorganic ion transport and metabolism	0.020689655	3	TP8	Soil
Cyanobacteria	Inorganic ion transport and metabolism	0.020618557	4	TP9	Rhizosphere
Nitrospirae	Inorganic ion transport and metabolism	0.020618557	4	TP9	Rhizosphere
Bacteroidetes	Inorganic ion transport and metabolism	0.009779951	4	TP8	Rhizosphere
Firmicutes	Inorganic ion transport and metabolism	0.034482759	5	TP8	Soil
Cyanobacteria	Inorganic ion transport and metabolism	0.031446541	5	TP9	Soil
Verrucomicrobia	Inorganic ion transport and metabolism	0.031446541	5	TP9	Soil
Planctomycetes	Inorganic ion transport and metabolism	0.030927835	6	TP9	Rhizosphere
Planctomycetes	Inorganic ion transport and metabolism	0.048275862	7	TP8	Soil
Chloroflexi	Inorganic ion transport and metabolism	0.044025157	7	TP9	Soil
Firmicutes	Inorganic ion transport and metabolism	0.044025157	7	TP9	Soil
Nitrospirae	Inorganic ion transport and metabolism	0.044025157	7	TP9	Soil
Chloroflexi	Inorganic ion transport and metabolism	0.02200489	9	TP8	Rhizosphere
Acidobacteria	Inorganic ion transport and metabolism	0.062893082	10	TP9	Soil
Chloroflexi	Inorganic ion transport and metabolism	0.096551724	14	TP8	Soil
Bacteroidetes	Inorganic ion transport and metabolism	0.088050314	14	TP9	Soil
Planctomycetes	Inorganic ion transport and metabolism	0.088050314	14	TP9	Soil
Firmicutes	Inorganic ion transport and metabolism	0.041564792	17	TP8	Rhizosphere
Actinobacteria	Inorganic ion transport and metabolism	0.119496855	19	TP9	Soil
Proteobacteria	Inorganic ion transport and metabolism	0.048899756	20	TP8	Rhizosphere
Bacteroidetes	Inorganic ion transport and metabolism	0.108247423	21	TP9	Rhizosphere
Proteobacteria	Inorganic ion transport and metabolism	0.118556701	23	TP9	Rhizosphere
Proteobacteria	Inorganic ion transport and metabolism	0.172413793	25	TP8	Soil
Firmicutes	Inorganic ion transport and metabolism	0.31443299	61	TP9	Rhizosphere
Proteobacteria	Inorganic ion transport and metabolism	0.408805031	65	TP9	Soil
Actinobacteria	Inorganic ion transport and metabolism	0.381443299	74	TP9	Rhizosphere
Actinobacteria	Inorganic ion transport and metabolism	0.524137931	76	TP8	Soil
Actinobacteria	Inorganic ion transport and metabolism	0.872860636	357	TP8	Rhizosphere
Planctomycetes	Secondary metabolites biosynthesis, transport and catabolism	0.012658228	1	TP8	Soil
Verrucomicrobia	Secondary metabolites biosynthesis, transport and catabolism	0.012658228	1	TP8	Soil
Acidobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.007936508	1	TP9	Soil
Deinococcus-Thermus	Secondary metabolites biosynthesis, transport and catabolism	0.007936508	1	TP9	Soil
Verrucomicrobia	Secondary metabolites biosynthesis, transport and catabolism	0.007936508	1	TP9	Soil
Chloroflexi	Secondary metabolites biosynthesis, transport and catabolism	0.005952381	1	TP9	Rhizosphere
Planctomycetes	Secondary metabolites biosynthesis, transport and catabolism	0.005952381	1	TP9	Rhizosphere
Spirochaetes	Secondary metabolites biosynthesis, transport and catabolism	0.005952381	1	TP9	Rhizosphere
Tenericutes	Secondary metabolites biosynthesis, transport and catabolism	0.003125	1	TP8	Rhizosphere
Firmicutes	Secondary metabolites biosynthesis, transport and catabolism	0.015873016	2	TP9	Soil
Nitrospirae	Secondary metabolites biosynthesis, transport and catabolism	0.015873016	2	TP9	Soil
Planctomycetes	Secondary metabolites biosynthesis, transport and catabolism	0.015873016	2	TP9	Soil
Bacteroidetes	Secondary metabolites biosynthesis, transport and catabolism	0.011904762	2	TP9	Rhizosphere
Bacteroidetes	Secondary metabolites biosynthesis, transport and catabolism	0.00625	2	TP8	Rhizosphere
Bacteroidetes	Secondary metabolites biosynthesis, transport and catabolism	0.037974684	3	TP8	Soil
Cyanobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.017857143	3	TP9	Rhizosphere
Chloroflexi	Secondary metabolites biosynthesis, transport and catabolism	0.063291139	5	TP8	Soil
Firmicutes	Secondary metabolites biosynthesis, transport and catabolism	0.063291139	5	TP8	Soil
Bacteroidetes	Secondary metabolites biosynthesis, transport and catabolism	0.03968254	5	TP9	Soil
Cyanobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.047619048	6	TP9	Soil
Chloroflexi	Secondary metabolites biosynthesis, transport and catabolism	0.021875	7	TP8	Rhizosphere
Proteobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.101265823	8	TP8	Soil
Proteobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.025	8	TP8	Rhizosphere
Chloroflexi	Secondary metabolites biosynthesis, transport and catabolism	0.071428571	9	TP9	Soil
Firmicutes	Secondary metabolites biosynthesis, transport and catabolism	0.028125	9	TP8	Rhizosphere
Proteobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.172619048	29	TP9	Rhizosphere
Firmicutes	Secondary metabolites biosynthesis, transport and catabolism	0.202380952	34	TP9	Rhizosphere
Actinobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.325396825	41	TP9	Soil
Actinobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.708860759	56	TP8	Soil
Proteobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.444444444	56	TP9	Soil
Actinobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.577380952	97	TP9	Rhizosphere
Actinobacteria	Secondary metabolites biosynthesis, transport and catabolism	0.915625	293	TP8	Rhizosphere
Armatimonadetes	General function prediction only	0.003703704	1	TP8	Soil
Balneolaeota	General function prediction only	0.003703704	1	TP8	Soil
candidate division NC10	General function prediction only	0.003703704	1	TP8	Soil
Chlorobi	General function prediction only	0.003703704	1	TP8	Soil
Thermotogae	General function prediction only	0.003703704	1	TP8	Soil
Verrucomicrobia	General function prediction only	0.003703704	1	TP8	Soil
Aerophobetes	General function prediction only	0.003676471	1	TP9	Soil
candidate division NC10	General function prediction only	0.003676471	1	TP9	Soil
Chlorobi	General function prediction only	0.003676471	1	TP9	Soil
Poribacteria	General function prediction only	0.003676471	1	TP9	Soil
Tenericutes	General function prediction only	0.003676471	1	TP9	Soil
Deinococcus-Thermus	General function prediction only	0.003367003	1	TP9	Rhizosphere
Thermotogae	General function prediction only	0.003367003	1	TP9	Rhizosphere
Acidobacteria	General function prediction only	0.001689189	1	TP8	Rhizosphere
Deinococcus-Thermus	General function prediction only	0.007407407	2	TP8	Soil
Gemmatimonadetes	General function prediction only	0.007407407	2	TP8	Soil
Poribacteria	General function prediction only	0.007407407	2	TP8	Soil
Spirochaetes	General function prediction only	0.007352941	2	TP9	Soil
Gemmatimonadetes	General function prediction only	0.006734007	2	TP9	Rhizosphere
Acidobacteria	General function prediction only	0.006734007	2	TP9	Rhizosphere
Tenericutes	General function prediction only	0.003378378	2	TP8	Rhizosphere
Nitrospinae	General function prediction only	0.011029412	3	TP9	Soil
Verrucomicrobia	General function prediction only	0.011029412	3	TP9	Soil
Chloroflexi	General function prediction only	0.01010101	3	TP9	Rhizosphere
Bacteroidetes	General function prediction only	0.005067568	3	TP8	Rhizosphere
Nitrospirae	General function prediction only	0.013468013	4	TP9	Rhizosphere
Acidobacteria	General function prediction only	0.018518519	5	TP8	Soil
Bacteroidetes	General function prediction only	0.018518519	5	TP8	Soil
Cyanobacteria	General function prediction only	0.016835017	5	TP9	Rhizosphere
Nitrospirae	General function prediction only	0.022222222	6	TP8	Soil
Gemmatimonadetes	General function prediction only	0.022058824	6	TP9	Soil
Planctomycetes	General function prediction only	0.022058824	6	TP9	Soil
Cyanobacteria	General function prediction only	0.010135135	6	TP8	Rhizosphere
Cyanobacteria	General function prediction only	0.02962963	8	TP8	Soil
Firmicutes	General function prediction only	0.040740741	11	TP8	Soil
Firmicutes	General function prediction only	0.040441176	11	TP9	Soil
Nitrospirae	General function prediction only	0.051470588	14	TP9	Soil
Chloroflexi	General function prediction only	0.059259259	16	TP8	Soil
Chloroflexi	General function prediction only	0.058823529	16	TP9	Soil
Chloroflexi	General function prediction only	0.027027027	16	TP8	Rhizosphere
Cyanobacteria	General function prediction only	0.0625	17	TP9	Soil
Acidobacteria	General function prediction only	0.069852941	19	TP9	Soil
Bacteroidetes	General function prediction only	0.080882353	22	TP9	Soil
Bacteroidetes	General function prediction only	0.084175084	25	TP9	Rhizosphere
Proteobacteria	General function prediction only	0.04222973	25	TP8	Rhizosphere
Firmicutes	General function prediction only	0.060810811	36	TP8	Rhizosphere
Proteobacteria	General function prediction only	0.168350168	50	TP9	Rhizosphere
Actinobacteria	General function prediction only	0.194852941	53	TP9	Soil
Proteobacteria	General function prediction only	0.2	54	TP8	Soil
Firmicutes	General function prediction only	0.239057239	71	TP9	Rhizosphere
Proteobacteria	General function prediction only	0.349264706	95	TP9	Soil
Actinobacteria	General function prediction only	0.447811448	133	TP9	Rhizosphere
Actinobacteria	General function prediction only	0.566666667	153	TP8	Soil
Actinobacteria	General function prediction only	0.849662162	503	TP8	Rhizosphere
Nitrospirae	Function unknown	0.003745318	1	TP9	Rhizosphere
Acidobacteria	Function unknown	0.003745318	1	TP9	Rhizosphere
Poribacteria	Function unknown	0.003246753	1	TP8	Soil
Thermotogae	Function unknown	0.003246753	1	TP8	Soil
Acidobacteria	Function unknown	0.002659574	1	TP8	Rhizosphere
Tenericutes	Function unknown	0.002659574	1	TP8	Rhizosphere
Aminicenantes	Function unknown	0.008849558	2	TP9	Soil
Gemmatimonadetes	Function unknown	0.008849558	2	TP9	Soil
Planctomycetes	Function unknown	0.008849558	2	TP9	Soil
Verrucomicrobia	Function unknown	0.007490637	2	TP9	Rhizosphere
Chlamydiae	Function unknown	0.006493506	2	TP8	Soil
Cyanobacteria	Function unknown	0.005319149	2	TP8	Rhizosphere
Deinococcus-Thermus	Function unknown	0.013274336	3	TP9	Soil
Nitrospirae	Function unknown	0.013274336	3	TP9	Soil
Verrucomicrobia	Function unknown	0.013274336	3	TP9	Soil
Chloroflexi	Function unknown	0.011235955	3	TP9	Rhizosphere
Deinococcus-Thermus	Function unknown	0.011235955	3	TP9	Rhizosphere
Bacteroidetes	Function unknown	0.007978723	3	TP8	Rhizosphere
Nitrospirae	Function unknown	0.012987013	4	TP8	Soil
Firmicutes	Function unknown	0.022123894	5	TP9	Soil
Planctomycetes	Function unknown	0.019480519	6	TP8	Soil
Bacteroidetes	Function unknown	0.022727273	7	TP8	Soil
Deinococcus-Thermus	Function unknown	0.025974026	8	TP8	Soil
Chloroflexi	Function unknown	0.021276596	8	TP8	Rhizosphere
Acidobacteria	Function unknown	0.029220779	9	TP8	Soil
Chloroflexi	Function unknown	0.044247788	10	TP9	Soil
Cyanobacteria	Function unknown	0.032467532	10	TP8	Soil
Proteobacteria	Function unknown	0.042553191	16	TP8	Rhizosphere
Cyanobacteria	Function unknown	0.079646018	18	TP9	Soil
Acidobacteria	Function unknown	0.088495575	20	TP9	Soil
Bacteroidetes	Function unknown	0.086142322	23	TP9	Rhizosphere
Firmicutes	Function unknown	0.077922078	24	TP8	Soil
Chloroflexi	Function unknown	0.087662338	27	TP8	Soil
Firmicutes	Function unknown	0.074468085	28	TP8	Rhizosphere
Bacteroidetes	Function unknown	0.128318584	29	TP9	Soil
Actinobacteria	Function unknown	0.163716814	37	TP9	Soil
Firmicutes	Function unknown	0.228464419	61	TP9	Rhizosphere
Proteobacteria	Function unknown	0.310861423	83	TP9	Rhizosphere
Actinobacteria	Function unknown	0.337078652	90	TP9	Rhizosphere
Proteobacteria	Function unknown	0.292207792	90	TP8	Soil
Proteobacteria	Function unknown	0.407079646	92	TP9	Soil
Actinobacteria	Function unknown	0.386363636	119	TP8	Soil
Actinobacteria	Function unknown	0.843085106	317	TP8	Rhizosphere
Acidobacteria	Signal transduction mechanisms	0.008130081	1	TP8	Soil
Chlorobi	Signal transduction mechanisms	0.008130081	1	TP8	Soil
Deinococcus-Thermus	Signal transduction mechanisms	0.008130081	1	TP8	Soil
Gemmatimonadetes	Signal transduction mechanisms	0.008130081	1	TP8	Soil
candidate division NC10	Signal transduction mechanisms	0.006535948	1	TP9	Soil
Candidatus Peregrinibacteria	Signal transduction mechanisms	0.006535948	1	TP9	Soil
Omnitrophica	Signal transduction mechanisms	0.006535948	1	TP9	Soil
Spirochaetes	Signal transduction mechanisms	0.006535948	1	TP9	Soil
Tenericutes	Signal transduction mechanisms	0.006535948	1	TP9	Soil
Acidobacteria	Signal transduction mechanisms	0.006024096	1	TP9	Rhizosphere
Planctomycetes	Signal transduction mechanisms	0.006024096	1	TP9	Rhizosphere
Cyanobacteria	Signal transduction mechanisms	0.006024096	1	TP9	Rhizosphere
Chloroflexi	Signal transduction mechanisms	0.006024096	1	TP9	Rhizosphere
Aquificae	Signal transduction mechanisms	0.003174603	1	TP8	Rhizosphere
Spirochaetes	Signal transduction mechanisms	0.003174603	1	TP8	Rhizosphere
Tenericutes	Signal transduction mechanisms	0.003174603	1	TP8	Rhizosphere
Deinococcus-Thermus	Signal transduction mechanisms	0.013071895	2	TP9	Soil
Gemmatimonadetes	Signal transduction mechanisms	0.013071895	2	TP9	Soil
Nitrospinae	Signal transduction mechanisms	0.013071895	2	TP9	Soil
Verrucomicrobia	Signal transduction mechanisms	0.013071895	2	TP9	Soil
Bacteroidetes	Signal transduction mechanisms	0.006349206	2	TP8	Rhizosphere
Nitrospinae	Signal transduction mechanisms	0.006349206	2	TP8	Rhizosphere
Cyanobacteria	Signal transduction mechanisms	0.024390244	3	TP8	Soil
Planctomycetes	Signal transduction mechanisms	0.024390244	3	TP8	Soil
Bacteroidetes	Signal transduction mechanisms	0.018072289	3	TP9	Rhizosphere
Cyanobacteria	Signal transduction mechanisms	0.00952381	3	TP8	Rhizosphere
Firmicutes	Signal transduction mechanisms	0.040650407	5	TP8	Soil
Chloroflexi	Signal transduction mechanisms	0.048780488	6	TP8	Soil
Chloroflexi	Signal transduction mechanisms	0.039215686	6	TP9	Soil
Nitrospirae	Signal transduction mechanisms	0.039215686	6	TP9	Soil
Planctomycetes	Signal transduction mechanisms	0.039215686	6	TP9	Soil
